Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
288	12238	Henderson, Logan	MLW	P	289.07	211	341	-57.07	15	Rufe Too-Early-Meatball DC	232
289	12226	Beavers, Dylan	BAL	OF	292.87	253	333	8.13	15	@steveymer	301
290	11903	Lee, Jung Hoo	SF	OF	294.87	269	314	44.13	15	Rufe Too-Early-Meatball DC	339
291	10925	Clement, Ernie	TOR	2B, 3B, SS	295.53	258	318	-15.53	15	The Robot DC1	280
292	10788	Vaughn, Andrew	MLW	1B	295.53	272	315	41.47	15	@ven_armbarn	337
293	12028	Leasure, Jordan	CWS	P	295.60	259	346	266.40	15	Rufe Too-Early-Meatball DC	562
294	11159	Ober, Bailey	MIN	P	296.27	276	333	-1.27	15	Bronx Yankees DC1	295
295	10133	Gimenez, Andres	TOR	2B	298.33	274	343	37.67	15	Bronx Yankees DC1	336
296	11420	Seymour, Ian	TB	P	298.60	273	324	-110.60	15	Cleveland Dustmites	188
297	9824	O'Hearn, Ryan	SD	1B, OF	298.73	274	327	18.27	15	@DOUGHBOYS	317
298	11999	Ashcraft, Braxton	PIT	P	298.93	278	334	77.07	15	So Many Miles	376
299	10569	Edman, Tommy	LAD	2B, OF	299.40	270	327	44.60	15	@DOUGHBOYS	344
300	12012	Narvaez, Carlos	BOS	C	299.47	262	369	-35.47	15	@ven_armbarn	264
301	11594	Olson, Reese	DET	P	300.40	258	326	4.60	15	Perfect Imperfection DC 2	305
302	12344	Tong, Jonah	NYM	P	300.67	247	401	-69.67	15	The Robot DC1	231
303	11357	Donovan, Brendan	STL	2B	301.53	275	331	28.47	15	@steveymer	330
304	11844	Schanuel, Nolan	LAA	1B	303.20	286	328	59.80	15	Unregulated Nervous System DC1	363
305	11182	Senga, Kodai	NYM	P	305.33	285	345	-14.33	15	The Robot DC1	291
306	8666	Manaea, Sean	NYM	P	309.93	267	357	-42.93	15	Dommy Meatballs	267
307	11825	Keith, Colt	DET	2B, 3B	310.07	288	349	-27.07	15	@Butlerj25	283
308	9710	Bader, Harrison	PHI	OF	313.20	285	348	-25.20	15	@Butlerj25	288
309	10207	Rodriguez, Grayson	LAA	P	314.13	289	354	5.87	15	@gmarti12	320
310	9765	Robles, Victor	SEA	OF	315.87	270	368	41.13	15	Dommy Meatballs	357
311	11740	Lee, Brooks	MIN	2B, 3B, SS	316.53	286	358	-32.53	15	@DOUGHBOYS	284
312	12331	Smith, Cam	HOU	OF	317.13	279	338	-23.13	15	@ven_armbarn	294
313	11753	Carter, Evan	TEX	OF	317.53	271	387	79.47	15	@ven_armbarn	397
314	11325	Volpe, Anthony	NYY	SS	317.67	293	367	-40.67	15	@ven_armbarn	277
315	10325	Weathers, Ryan	MIA	P	319.60	298	345	-72.60	15	@ven_armbarn	247
316	10236	Sanchez, Jesus	HOU	OF	321.27	267	369	-18.27	15	Unregulated Nervous System DC1	303
317	12490	Okamoto, Kazuma	FA	3B	322.00	230	399	265.00	15	@DOUGHBOYS	587
318	11919	DeLauter, Chase	CLE	OF	322.00	267	372	-44.00	15	Cleveland Dustmites	278
319	7886	Taillon, Jameson	CHC	P	323.87	294	374	-26.87	15	Dommy Meatballs	297
320	11162	O'Brien, Riley	STL	P	324.13	232	385	183.87	15	Unregulated Nervous System DC1	508
321	8478	Ozuna, Marcell	ATL	UT	324.67	296	374	55.33	15	@gmarti12	380
322	10072	Mullins, Cedric	TB	OF	325.07	273	374	14.93	15	The Robot DC1	340
323	12191	Quero, Edgar	CWS	C	326.00	268	392	-34.00	15	Rufe Too-Early-Meatball DC	292
324	10145	Singer, Brady	CIN	P	326.33	307	349	-27.33	15	Bloom DC1 - Meatball	299
325	11898	Warren, Will	NYY	P	327.07	302	351	55.93	15	Cleveland Dustmites	383
326	9452	Kelly, Carson	CHC	C	328.27	298	390	-71.27	15	@DOUGHBOYS	257
327	9993	McKinstry, Zach	DET	3B, SS, OF	328.33	283	374	20.67	15	KCBubba Meatball	349
328	11362	Bello, Brayan	BOS	P	329.13	290	385	-42.13	15	@DOUGHBOYS	287
329	10980	Jung, Josh	TEX	3B	330.07	284	363	4.93	15	Perfect Imperfection DC 2	335
330	11576	Wallner, Matt	MIN	OF	330.07	286	368	-14.07	15	So Many Miles	316
331	11439	Lawlar, Jordan	ARZ	3B	331.47	275	385	-24.47	15	@ven_armbarn	307
332	12452	Tolle, Payton	BOS	P	331.73	297	386	-46.73	15	So Many Miles	285
333	12359	Taylor, Grant	CWS	P	334.40	266	437	70.60	15	So Many Miles	405
334	11778	Canzone, Dominic	SEA	OF	337.73	310	363	-4.73	15	Unregulated Nervous System DC1	333
335	12303	Crawford, Justin	PHI	OF	337.93	257	381	72.07	15	@gmarti12	410
336	8221	Castellanos, Nick	PHI	OF	338.60	289	449	-36.60	15	Bloom DC1 - Meatball	302
337	11603	Norby, Connor	MIA	3B	338.80	311	385	-59.80	15	Rufe Too-Early-Meatball DC	279
338	11907	Snelling, Robby	MIA	P	342.87	320	384	-15.87	15	Dommy Meatballs	327
339	11947	Scott II, Victor	STL	OF	343.07	303	413	90.93	15	@DOUGHBOYS	434
340	12227	Meidroth, Chase	CWS	2B, SS	343.53	305	396	28.47	15	KCBubba Meatball	372
341	10355	Casas, Triston	BOS	1B	344.00	304	420	-110.00	15	@ven_armbarn	234
342	10915	Detmers, Reid	LAA	P	347.00	300	398	71.00	15	Unregulated Nervous System DC1	418
343	9555	Holmes, Clay	NYM	P	347.53	299	408	-33.53	15	@DOUGHBOYS	314
344	12259	Patrick, Chad	MLW	P	347.60	309	379	27.40	15	So Many Miles	375
345	10146	Marsh, Brandon	PHI	OF	350.13	212	418	35.87	15	Perfect Imperfection DC 2	386
346	11441	Smith, Josh	TEX	1B, 3B, SS	351.07	325	371	-4.07	15	@DOUGHBOYS	347
347	9799	Keller, Mitch	PIT	P	351.53	296	382	-8.53	15	@Butlerj25	343
348	11619	Burrows, Mike	PIT	P	353.73	301	388	-43.73	15	The Robot DC1	310
349	12202	Eldridge, Bryce	SF	UT	354.07	324	400	-13.07	15	@gmarti12	341
350	11187	Soriano, Jose	LAA	P	354.20	322	406	35.80	15	@steveymer	390
351	12472	Miller, Aidan	PHI	SS	355.93	285	425	-9.93	15	So Many Miles	346
352	10335	Woods Richardson, Simeon	MIN	P	356.67	309	422	-37.67	15	KCBubba Meatball	319
353	10438	Kikuchi, Yusei	LAA	P	356.73	295	428	63.27	15	@steveymer	420
354	10971	Cavalli, Cade	WAS	P	357.07	313	387	2.93	15	@steveymer	360
355	10760	Gil, Luis	NYY	P	358.60	317	395	-6.60	15	Rufe Too-Early-Meatball DC	352
356	11434	Horwitz, Spencer	PIT	1B	360.27	325	411	-5.27	15	Bronx Yankees DC1	355
357	11342	Clemens, Kody	MIN	OF, 2B, 1B	360.33	323	401	39.67	15	The Robot DC1	400
358	11585	Painter, Andrew	PHI	P	361.00	301	433	62.00	15	Unregulated Nervous System DC1	423
359	9312	Lugo, Seth	KC	P	362.33	337	394	-39.33	15	Cleveland Dustmites	323
360	10143	Naylor, Bo	CLE	C	365.93	313	445	-17.93	15	@Butlerj25	348
361	10327	Murphy, Sean	ATL	C	365.93	315	412	8.07	15	@DOUGHBOYS	374
362	10204	Sheets, Gavin	SD	OF	366.53	332	405	39.47	15	So Many Miles	406
363	12217	Ballesteros, Moises	CHC	UT	367.13	319	406	-58.13	15	Rufe Too-Early-Meatball DC	309
364	10347	Santillan, Tony	CIN	P	367.47	181	637	34.53	15	KCBubba Meatball	402
365	11553	Estrada, Jeremiah	SD	P	367.60	304	417	95.40	15	@Butlerj25	463
366	8426	Wacha, Michael	KC	P	369.47	322	395	-61.47	15	Cleveland Dustmites	308
367	11934	Mayer, Marcelo	BOS	3B	372.27	333	418	31.73	15	@DOUGHBOYS	404
368	11586	Pfaadt, Brandon	ARZ	P	372.40	346	405	-60.40	15	KCBubba Meatball	312
369	10181	Peterson, David	NYM	P	372.80	346	425	-18.80	15	@ven_armbarn	354
370	10350	Larnach, Trevor	MIN	OF	373.80	345	397	19.20	15	Unregulated Nervous System DC1	393
371	11889	Mayo, Coby	BAL	1B	374.07	344	422	4.93	15	KCBubba Meatball	379
372	10774	Ponce, Cody	TOR	P	375.40	282	507	252.60	15	Unregulated Nervous System DC1	628
373	11841	Lopez, Jacob	ATH	P	376.47	323	434	8.53	15	Bronx Yankees DC1	385
374	12241	Clarke, Denzel	ATH	OF	377.07	330	452	-16.07	15	@steveymer	361
375	10477	Steele, Justin	CHC	P	377.60	309	416	98.40	15	Perfect Imperfection DC 2	476
376	12195	Campbell, Kristian	BOS	2B	380.60	335	461	-99.60	15	@gmarti12	281
377	9856	Castro, Willi	CHC	2B, 3B, OF	380.73	334	459	-30.73	15	@gmarti12	350
378	8724	Giolito, Lucas	BOS	P	383.07	336	412	101.93	15	Perfect Imperfection DC 2	485
379	11193	Wells, Tyler	BAL	P	383.13	358	414	-70.13	15	@Butlerj25	313
380	10885	Walker, Jordan	STL	OF	383.67	334	423	67.33	15	@steveymer	451
381	11588	Bradley, Taj	MIN	P	384.27	333	422	-69.27	15	So Many Miles	315
382	9789	O'Neill, Tyler	BAL	OF	384.47	340	445	-113.47	15	@steveymer	271
383	8694	Crawford, J.P.	SEA	SS	385.33	295	435	-12.33	15	@Butlerj25	373
384	9726	McMahon, Ryan	NYY	3B	387.00	354	437	24.00	15	The Robot DC1	411
385	12190	Rushing, Dalton	LAD	C	388.60	329	482	59.40	15	Unregulated Nervous System DC1	448
386	11225	Nootbaar, Lars	STL	OF	389.87	357	420	-68.87	15	The Robot DC1	321
387	10307	Meadows, Parker	DET	OF	390.13	349	430	-101.13	15	KCBubba Meatball	289
388	12194	Moore, Christian	LAA	2B	391.40	363	429	-73.40	15	@Butlerj25	318
389	11836	Cecconi, Slade	CLE	P	392.40	357	427	-1.40	15	@steveymer	391
390	10263	Ruiz, Keibert	WAS	C	394.13	346	474	48.87	15	Cleveland Dustmites	443
391	10123	Morejon, Adrian	SD	P	396.33	210	522	40.67	15	@DOUGHBOYS	437
392	10717	Javier, Cristian	HOU	P	397.27	332	448	-30.27	15	@ven_armbarn	367
393	12480	Benge, Carson	NYM	OF	397.67	351	481	242.33	15	The Robot DC1	640
394	8331	Soler, Jorge	LAA	OF	398.00	356	431	-3.00	15	Perfect Imperfection DC 2	395
395	12179	Collins, Isaac	KC	OF	401.07	346	496	-3.07	15	Cleveland Dustmites	398
396	12434	Morales, Luis	ATH	P	401.73	373	466	75.27	15	Dommy Meatballs	477
397	11861	Vodnik, Victor	COL	P	402.60	353	515	104.40	15	Dommy Meatballs	507
398	9410	Lopez, Reynaldo	ATL	P	402.80	351	467	38.20	15	The Robot DC1	441
399	8879	Bassitt, Chris	TOR	P	403.00	358	438	-33.00	15	The Robot DC1	370
400	10356	Freeman, Tyler	COL	OF	403.53	342	444	-65.53	15	Cleveland Dustmites	338
401	11625	Ortiz, Joey	MLW	SS	404.53	363	439	-40.53	15	Dommy Meatballs	364
402	9763	Hays, Austin	CIN	OF	404.87	321	450	-93.87	15	@gmarti12	311
403	12067	Mangum, Jake	TB	OF	405.13	287	535	-9.13	15	Bronx Yankees DC1	396
404	10248	India, Jonathan	KC	OF, 3B, 2B	406.07	355	447	-14.07	15	Bloom DC1 - Meatball	392
405	9742	Mahle, Tyler	TEX	P	407.07	368	448	-42.07	15	Perfect Imperfection DC 2	365
406	10766	Cronenworth, Jake	SD	2B	408.33	332	457	17.67	15	Bronx Yankees DC1	426
407	11634	Roupp, Landen	SF	P	409.40	373	457	-28.40	15	The Robot DC1	381
408	10832	Meyer, Max	MIA	P	409.40	376	497	-141.40	15	Unregulated Nervous System DC1	268
409	11395	Faucher, Calvin	MIA	P	409.40	323	568	22.60	15	KCBubba Meatball	432
410	10183	Kremer, Dean	BAL	P	410.13	390	449	4.87	15	Bronx Yankees DC1	415
411	9417	Benintendi, Andrew	CWS	OF	410.53	354	494	-81.53	15	Bloom DC1 - Meatball	329
412	11823	Garcia, Robert	TEX	P	412.53	326	487	145.47	15	@Butlerj25	558
413	9936	Keller, Brad	CHC	P	413.87	350	516	140.13	15	@DOUGHBOYS	554
414	11668	Triolo, Jared	PIT	1B, 3B, SS	414.13	349	461	58.87	15	Cleveland Dustmites	473
415	12479	Emerson, Colt	SEA	SS	416.40	315	476	19.60	15	So Many Miles	436
416	9609	Rengifo, Luis	LAA	2B, 3B	416.67	356	470	-60.67	15	Perfect Imperfection DC 2	356
417	12461	Cole, Zach	HOU	OF	417.33	376	476	239.67	15	Dommy Meatballs	657
418	11632	Abel, Mick	MIN	P	418.13	376	504	-47.13	15	@gmarti12	371
419	11514	Fermin, Freddy	SD	C	418.73	305	474	39.27	15	Cleveland Dustmites	458
420	10434	Perez, Wenceel	DET	OF	421.33	360	469	-43.33	15	@Butlerj25	378
421	11276	Gonzalez, Romy	BOS	1B, 2B	422.93	360	547	7.07	15	The Robot DC1	430
422	9791	Soroka, Michael	ARZ	P	423.13	368	495	7.87	15	@gmarti12	431
423	10067	Springs, Jeffrey	ATH	P	423.93	395	465	-54.93	15	Rufe Too-Early-Meatball DC	369
424	12478	White, Thomas	MIA	P	426.80	366	480	-68.80	15	Unregulated Nervous System DC1	358
425	8223	Arenado, Nolan	STL	3B	427.93	397	471	-6.93	15	@steveymer	421
426	8958	Severino, Luis	ATH	P	427.93	382	466	-76.93	15	The Robot DC1	351
427	11190	Whitlock, Garrett	BOS	P	428.73	329	481	69.27	15	@Butlerj25	498
428	12047	Jones, Spencer	NYY	OF	429.73	330	551	86.27	15	Bronx Yankees DC1	516
429	10379	Rocchio, Brayan	CLE	2B, SS	432.40	375	502	14.60	15	Dommy Meatballs	447
430	10061	McNeil, Jeff	NYM	2B, OF	433.73	359	504	87.27	15	@gmarti12	521
431	9860	Littell, Zack	CIN	P	435.80	357	473	-23.80	15	Rufe Too-Early-Meatball DC	412
432	9706	Kittredge, Andrew	BAL	P	436.60	254	584	193.40	15	@steveymer	630
433	12024	Williams, Carson	TB	SS	436.87	349	503	-28.87	15	@Butlerj25	408
434	10287	Liberatore, Matthew	STL	P	438.53	406	480	-31.53	15	@DOUGHBOYS	407
435	9430	Weaver, Luke	NYY	P	440.60	395	488	56.40	15	@DOUGHBOYS	497
436	12128	Baldwin, Brooks	CWS	OF	441.20	398	502	-53.20	15	Unregulated Nervous System DC1	388
437	9725	Hoskins, Rhys	MLW	1B	441.67	364	509	38.33	15	@steveymer	480
438	9977	Mountcastle, Ryan	BAL	1B	442.53	339	543	32.47	15	Bronx Yankees DC1	475
439	9470	Higashioka, Kyle	TEX	C	442.67	411	521	23.33	15	So Many Miles	466
440	12040	Jenkins, Walker	MIN	OF	443.20	391	551	84.80	15	@Butlerj25	528
441	11924	Povich, Cade	BAL	P	446.47	389	478	-33.47	15	Cleveland Dustmites	413
442	8951	Berrios, Jose	TOR	P	447.80	384	484	-2.80	15	Bronx Yankees DC1	445
443	12482	Mack, Joe	MIA	C	448.20	391	483	68.80	15	@ven_armbarn	517
444	12050	Caissie, Owen	CHC	OF	448.67	396	557	-39.67	15	KCBubba Meatball	409
445	11905	Johnston, Troy	COL	OF	449.47	347	540	69.53	15	Rufe Too-Early-Meatball DC	519
446	10290	Amaya, Miguel	CHC	C	450.33	384	530	-31.33	15	Bloom DC1 - Meatball	419
447	12214	Kim, Hyeseong	LAD	2B	451.13	352	520	-27.13	15	Dommy Meatballs	424
448	11893	Jones, Jared	PIT	P	454.67	387	525	-26.67	15	Cleveland Dustmites	428
449	10999	Meyers, Jake	HOU	OF	455.27	404	528	-113.27	15	KCBubba Meatball	342
450	11868	Boyle, Joe	TB	P	455.53	387	524	-123.53	15	Bloom DC1 - Meatball	332
451	9262	Caratini, Victor	HOU	C	456.53	302	601	-79.53	15	@DOUGHBOYS	377
452	8962	Bell, Josh	MIN	1B	457.33	407	531	-24.33	15	@Butlerj25	433
453	12137	McGreevy, Michael	STL	P	458.93	408	513	-12.93	15	Perfect Imperfection DC 2	446
454	11933	Lowder, Rhett	CIN	P	458.93	432	502	-57.93	15	@gmarti12	401
455	11102	Bailey, Patrick	SF	C	459.00	365	497	-3.00	15	Bronx Yankees DC1	456
456	10446	Thomas, Lane	KC	OF	459.47	387	527	-43.47	15	Perfect Imperfection DC 2	416
457	11935	Brown, Ben	CHC	P	459.53	416	509	-32.53	15	@ven_armbarn	427
458	10528	Romero, JoJo	STL	P	459.60	361	542	4.40	15	@DOUGHBOYS	464
459	12435	Kayfus, C.J.	CLE	OF	460.20	415	507	0.80	15	@gmarti12	461
460	9677	Maton, Phil	CHC	P	461.53	391	573	269.47	15	@gmarti12	731
461	8643	Baez, Javier	DET	3B, SS, OF	463.27	395	517	-21.27	15	Rufe Too-Early-Meatball DC	442
462	9379	Eflin, Zach	BAL	P	464.53	386	551	128.47	15	Cleveland Dustmites	593
463	12198	Sproat, Brandon	NYM	P	465.40	427	500	-112.40	15	Cleveland Dustmites	353
464	10833	Martin, Austin	MIN	OF	466.13	433	512	2.87	15	KCBubba Meatball	469
465	11624	Gelof, Zack	ATH	2B	466.73	416	505	137.27	15	Dommy Meatballs	604
466	10318	Mauricio, Ronny	NYM	3B	467.67	420	524	-50.67	15	Dommy Meatballs	417
467	12010	Nunez, Nasim	WAS	SS	468.67	386	577	126.33	15	Bronx Yankees DC1	595
468	11297	Brash, Matt	SEA	P	469.87	392	549	155.13	15	Bronx Yankees DC1	625
469	10892	Oviedo, Johan	BOS	P	470.20	400	578	-20.20	15	@steveymer	450
470	9124	Rea, Colin	CHC	P	470.67	428	519	15.33	15	Bronx Yankees DC1	486
471	10262	Hayes, Ke'Bryan	CIN	3B	471.13	385	559	-49.13	15	Bloom DC1 - Meatball	422
472	12216	Bazzana, Travis	CLE	2B	472.33	407	561	-88.33	15	@ven_armbarn	384
473	10200	Arias, Gabriel	CLE	2B, SS	474.73	408	538	15.27	15	The Robot DC1	490
474	11038	Gonzales, Nick	PIT	2B	475.33	425	521	-23.33	15	Bloom DC1 - Meatball	452
475	12502	Baez, Joshua	STL	OF	476.53	421	519	109.47	15	So Many Miles	586
476	12020	Arrighetti, Spencer	HOU	P	478.27	382	554	-21.27	15	@ven_armbarn	457
477	11743	Schmitt, Casey	SF	2B, 3B	479.40	396	560	-26.40	15	Unregulated Nervous System DC1	453
478	5420	Verlander, Justin	SF	P	480.27	407	550	28.73	15	Bloom DC1 - Meatball	509
479	11637	Lukes, Nathan	TOR	OF	480.33	331	551	-86.33	15	Dommy Meatballs	394
480	10626	Yastrzemski, Mike	ATL	OF	482.47	434	519	-11.47	15	The Robot DC1	471
481	11937	Ford, Harry	WAS	C	484.00	402	540	-3.00	15	@steveymer	481
482	12161	Ginn, J.T.	ATH	P	484.27	452	552	-6.27	15	Unregulated Nervous System DC1	478
483	11912	Scott, Christian	NYM	P	487.73	421	556	26.27	15	Dommy Meatballs	514
484	11266	Latz, Jacob	TEX	P	490.40	437	544	-7.40	15	Unregulated Nervous System DC1	483
485	11943	Hicks, Liam	MIA	1B, C	490.67	408	568	192.33	15	Cleveland Dustmites	683
486	11283	Crawford, Kutter	BOS	P	491.20	395	615	131.80	15	Cleveland Dustmites	623
487	12403	Hernandez, Heriberto	MIA	OF	491.67	450	568	-62.67	15	Rufe Too-Early-Meatball DC	429
488	10245	Bart, Joey	PIT	C	492.07	429	567	-133.07	15	Bloom DC1 - Meatball	359
489	9802	Dubon, Mauricio	ATL	2B, 3B, SS, OF	492.13	444	567	91.87	15	@DOUGHBOYS	584
490	9921	Erceg, Lucas	KC	P	492.80	447	536	205.20	15	Cleveland Dustmites	698
491	12183	Rocker, Kumar	TEX	P	493.80	429	615	71.20	15	Bronx Yankees DC1	565
492	12355	Matthews, Brice	HOU	2B	493.93	454	564	62.07	15	So Many Miles	556
493	10303	Gorman, Nolan	STL	3B, 2B	497.40	439	552	7.60	15	Bronx Yankees DC1	505
494	12266	Svanson, Matt	STL	P	501.73	451	566	172.27	15	@DOUGHBOYS	674
495	12301	Muncy, Max	ATH	2B, 3B	502.47	446	569	147.53	15	@gmarti12	650
496	11926	House, Brady	WAS	3B	502.73	461	560	-7.73	15	So Many Miles	495
497	6837	Scherzer, Max	TOR	P	504.73	452	554	91.27	15	Perfect Imperfection DC 2	596
498	9523	Andujar, Miguel	CIN	3B, OF	508.00	449	594	-7.00	15	The Robot DC1	501
499	11597	Harrison, Kyle	BOS	P	508.20	443	604	-140.20	15	Cleveland Dustmites	368
500	10309	Smith, Pavin	ARZ	1B	509.67	449	558	-9.67	15	@gmarti12	500
501	10147	Garrett, Braxton	MIA	P	510.60	425	573	202.40	15	Cleveland Dustmites	713
502	10296	Lowe, Nathaniel	BOS	1B	511.20	357	567	-129.20	15	Rufe Too-Early-Meatball DC	382
503	12367	Clark, Max	DET	OF	512.27	439	572	145.73	15	Unregulated Nervous System DC1	658
504	11331	Veen, Zac	COL	OF	512.80	414	608	5.20	15	Cleveland Dustmites	518
505	12250	Tawa, Tim	ARZ	1B, OF, 2B	513.00	442	560	29.00	15	Bloom DC1 - Meatball	542
506	10142	Alexander, Blaze	ARZ	3B	514.40	455	554	23.60	15	Unregulated Nervous System DC1	538
507	9123	Armstrong, Shawn	TEX	P	514.53	371	627	-35.53	15	Bloom DC1 - Meatball	479
508	10769	Cleavinger, Garrett	TB	P	514.80	325	633	102.20	15	@DOUGHBOYS	617
509	11755	Burke, Sean	CWS	P	516.73	441	572	-6.73	15	@steveymer	510
510	12199	Thomas, Colby	ATH	OF	517.33	471	570	-6.33	15	@steveymer	511
511	11105	Doval, Camilo	NYY	P	518.07	451	568	27.93	15	Bronx Yankees DC1	546
512	12389	Blubaugh, AJ	HOU	P	518.27	454	622	-156.27	15	Bloom DC1 - Meatball	362
513	11986	McDonald, Trevor	SF	P	520.20	424	605	89.80	15	The Robot DC1	610
514	12345	Perkins, Jack	ATH	P	521.00	477	623	-37.00	15	Dommy Meatballs	484
515	11424	Varland, Louis	TOR	P	522.27	457	607	168.73	15	@steveymer	691
516	9800	Burnes, Corbin	ARZ	P	522.93	430	626	-63.93	15	Rufe Too-Early-Meatball DC	459
517	12177	Sanoja, Javier	MIA	2B, 3B, OF	524.47	479	586	-89.47	15	So Many Miles	435
518	12169	Halvorsen, Seth	COL	P	525.33	391	683	156.67	14	Rufe Too-Early-Meatball DC	682
519	8126	Goldschmidt, Paul	NYY	1B	525.53	466	610	24.47	15	The Robot DC1	550
520	11745	Gasser, Robert	MLW	P	526.00	446	608	-160.00	15	Bronx Yankees DC1	366
521	12124	Wrobleski, Justin	LAD	P	526.40	455	580	84.60	15	@gmarti12	611
522	11895	Saggese, Thomas	STL	2B, SS	529.27	445	574	-37.27	15	KCBubba Meatball	492
523	12477	Waldschmidt, Ryan	ARZ	OF	530.93	451	595	106.07	15	@ven_armbarn	637
524	10210	Conine, Griffin	MIA	OF	532.00	436	582	11.00	15	Unregulated Nervous System DC1	543
525	8650	Stephenson, Robert	LAA	P	536.07	426	650	191.93	15	Cleveland Dustmites	728
526	12189	Condon, Charlie	COL	1B	536.73	412	615		15		
527	12450	Crooks, Jimmy	STL	C	538.73	442	619		15		
528	10468	Holmes, Grant	ATL	P	538.87	424	651	-8.87	15	@gmarti12	530
529	10880	Pages, Pedro	STL	C	539.20	446	644	36.80	15	Bronx Yankees DC1	576
530	11736	Encarnacion-Strand, Christian	CIN	1B	539.40	485	600	-57.40	15	Bloom DC1 - Meatball	482
531	9788	Bauers, Jake	MLW	OF, 1B	540.87	445	575	48.13	15	KCBubba Meatball	589
532	11629	Yoshida, Masataka	BOS	UT	541.67	485	623	-4.67	15	Dommy Meatballs	537
533	11923	Williams, Jett	NYM	SS	542.93	472	610	-102.93	15	@gmarti12	440
534	9172	Kepler, Max	PHI	OF	543.60	482	593	-31.60	15	Bloom DC1 - Meatball	512
535	11204	Mitchell, Garrett	MLW	OF	543.73	500	670	59.27	15	Unregulated Nervous System DC1	603
536	12329	Rodriguez-Cruz, Elmer	NYY	P	544.13	486	620	149.87	15	Dommy Meatballs	694
537	10024	Lauer, Eric	TOR	P	545.20	493	648	-96.20	15	Bloom DC1 - Meatball	449
538	10705	Heim, Jonah	TEX	C	545.73	404	713	20.27	15	Perfect Imperfection DC 2	566
539	9795	Jansen, Danny	TEX	C	546.47	491	620	160.53	15	@DOUGHBOYS	707
540	10372	Ashby, Aaron	MLW	P	548.67	514	616	-74.67	15	@ven_armbarn	474
541	11106	Beeter, Clayton	WAS	P	549.13	391	668		15		
542	11965	Amador, Adael	COL	2B	549.27	430	708		15		
543	11822	Leahy, Kyle	STL	P	549.27	469	655	7.73	15	@DOUGHBOYS	557
544	11855	Phillips, Connor	CIN	P	549.53	387	683	-24.53	15	So Many Miles	525
545	12346	Walcott, Sebastian	TEX	SS	550.73	424	705	41.27	15	Rufe Too-Early-Meatball DC	592
546	12009	Kolek, Stephen	KC	P	550.80	461	595	-163.80	15	Dommy Meatballs	387
547	10189	May, Dustin	STL	P	551.33	490	623	39.67	15	The Robot DC1	591
548	8632	Rodriguez, Eduardo	ARZ	P	552.40	511	629	-97.40	15	Perfect Imperfection DC 2	455
549	12338	Kemp, Otto	PHI	3B	552.80	489	645	-85.80	15	@DOUGHBOYS	467
550	11863	Gipson-Long, Sawyer	DET	P	555.20	472	610	34.80	15	@gmarti12	590
551	8688	Pederson, Joc	TEX	UT	555.73	490	653	-52.73	15	Cleveland Dustmites	503
552	11754	Joyce, Ben	LAA	P	555.73	496	640	-64.73	15	@gmarti12	491
553	11990	Rodriguez, Emmanuel	MIN	OF	562.47	485	637	-108.47	15	Dommy Meatballs	454
554	12181	Wagaman, Eric	MIA	1B, OF	563.13	507	668	-69.13	15	@DOUGHBOYS	494
555	8748	Martinez, Nick	CIN	P	564.20	486	599	41.80	15	Bronx Yankees DC1	606
556	12192	Mathews, Quinn	STL	P	564.20	528	698	-51.20	15	Unregulated Nervous System DC1	513
557	11046	Hassell III, Robert	WAS	OF	564.53	471	692	33.47	15	Unregulated Nervous System DC1	598
558	12026	Birdsong, Hayden	SF	P	565.80	509	656	-39.80	15	So Many Miles	526
559	11838	Schneider, Davis	TOR	2B, OF	567.40	480	662	-47.40	15	The Robot DC1	520
560	12439	Karros, Kyle	COL	3B	568.53	430	634	-27.53	15	@steveymer	541
561	12014	Fitts, Richard	STL	P	568.60	478	656		14		
562	12481	Wiggins, Jaxon	CHC	P	568.87	483	745	154.13	15	Unregulated Nervous System DC1	723
563	10126	Thomas, Alek	ARZ	OF	569.93	513	636	-47.93	15	KCBubba Meatball	522
564	9557	Sosa, Edmundo	PHI	2B, 3B	571.27	506	643	-39.27	15	Rufe Too-Early-Meatball DC	532
565	11681	DeLuca, Jonny	TB	OF	573.73	449	702	-134.73	14	KCBubba Meatball	439
566	11401	Sears, JP	SD	P	574.93	503	655	-106.93	15	@Butlerj25	468
567	11606	Mead, Curtis	CWS	1B, 3B	575.00	531	633	26.00	15	@steveymer	601
568	10203	Lux, Gavin	CIN	OF	575.53	427	694	-6.53	15	Bloom DC1 - Meatball	569
569	11906	Quero, Jeferson	MLW	C	576.00	426	693		15		
570	9863	Kiner-Falefa, Isiah	TOR	3B, SS	577.60	524	702	-32.60	15	Perfect Imperfection DC 2	545
571	10694	Kay, Anthony	CWS	P	580.00	431	710		12		
572	11792	Bradford, Cody	TEX	P	580.93	513	681	60.07	15	@gmarti12	641
573	11280	Junk, Janson	MIA	P	581.47	486	701	-119.47	15	KCBubba Meatball	462
574	12097	Sterner, Justin	ATH	P	583.40	490	674		15		
575	11145	Yorke, Nick	PIT	2B	584.20	528	719	48.80	15	Unregulated Nervous System DC1	633
576	10764	Raley, Luke	SEA	1B, OF	584.80	514	731	-95.80	15	Rufe Too-Early-Meatball DC	489
